Area,All people,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
Barking and Dagenham,185911,104101,842,4464,425,25520,2952,533,35106,11968
Barnet,356386,146866,4521,21924,54084,36744,1269,3764,57297,29917
Bexley,231997,144093,1377,3547,234,5645,4156,724,55995,16226
Brent,311215,129080,4300,55449,4357,58036,1709,3768,33054,21462
Bromley,309392,187656,1580,4987,957,7841,736,1138,80303,24194
Camden,220338,84737,3154,3591,11226,30384,518,1423,64064,21237
City of London,7375,3344,92,145,166,409,18,28,2522,651
Croydon,363378,205022,2381,21739,709,29513,1450,2153,72654,27757
Ealing,338449,148055,4228,28915,1131,53198,26778,1987,50848,23309
Enfield,312466,167417,1824,10927,4412,52141,1078,1950,48522,24195
Greenwich,254557,134632,4223,9087,492,17349,3490,1013,65034,19237
Hackney,246270,95131,3075,1577,15477,34727,1872,1311,69454,23646
Hammersmith and Fulham,182493,98808,2060,2097,1161,18242,442,857,43487,15339
Haringey,254926,114659,2829,4539,7643,36130,808,1303,64202,22813
Harrow,239056,89181,2700,60407,10538,29881,2752,5945,22871,14781
Havering,237232,155597,760,2963,1159,4829,1928,648,53549,15799
Hillingdon,273936,134813,2386,22033,1753,29065,18230,1669,46492,17495
Hounslow,253957,106660,3617,26261,651,35666,22749,1540,40351,16462
Islington,206125,90107,2298,2306,2089,21470,625,1052,67973,18201
Kensington and Chelsea,158649,86005,2447,1386,3320,15812,263,778,32669,15969
Kingston upon Thames,160060,84684,1771,7502,775,9474,1236,802,41183,12633
Lambeth,303086,160944,2963,3119,1134,21500,440,1682,84803,26501
Lewisham,275885,145588,3664,6562,643,17759,531,1478,75155,24505
Merton,199693,111993,1884,12203,791,16262,498,810,41231,14021
Newham,307984,123119,2446,26962,342,98456,6421,1090,29373,19775
Redbridge,278970,102755,1840,31699,10213,64999,17377,1348,30691,18048
Richmond upon Thames,186990,103319,1577,3051,1409,6128,1581,890,53195,15840
Southwark,288283,151462,3884,3668,1006,24551,653,1350,77098,24611
Sutton,190146,111086,1368,8038,486,7726,325,796,46817,13504
Tower Hamlets,254096,75087,2994,4717,1396,96156,911,908,54363,17560
Waltham Forest,258249,124939,1987,5917,1259,56541,1209,993,46462,18942
Wandsworth,306995,162590,2574,6496,1617,24746,832,1283,82740,24117
